model_type,model_name,language,direction,split,test_examples,lemma_accuracy,lemma_mean_levenshtein,lemma_correct,lemma_total,msd_accuracy,msd_f1,msd_precision,msd_recall,msd_correct,msd_total,use_context,epochs,batch_size,learning_rate,timestamp
nonneural,nonneural-baseline,amh,forward,test,1000,0.654,,654,1000,,,,,,,,,,,2026-02-05T21:29:18.554814
nonneural,nonneural-baseline,azg,forward,test,1000,0.062,,62,1000,,,,,,,,,,,2026-02-05T21:29:40.276374
nonneural,nonneural-baseline,dsb,forward,test,1000,0.88,,880,1000,,,,,,,,,,,2026-02-05T21:29:45.153150
nonneural,nonneural-baseline,eng,forward,test,1000,0.966,,966,1000,,,,,,,,,,,2026-02-05T21:29:55.933098
nonneural,nonneural-baseline,grc,forward,test,1000,0.526,,526,1000,,,,,,,,,,,2026-02-05T21:30:03.039612
nonneural,nonneural-baseline,ita,forward,test,1000,0.75,,750,1000,,,,,,,,,,,2026-02-05T21:30:14.354038
nonneural,nonneural-baseline,kat,forward,test,1000,0.82,,820,1000,,,,,,,,,,,2026-02-05T21:30:22.866843
nonneural,nonneural-baseline,por,forward,test,1000,0.975,,975,1000,,,,,,,,,,,2026-02-05T21:30:31.015964
llm,meta-llama/llama-3.1-8b-instruct,por,,test,894,0.7125279642058165,0.7505592841163311,637,894,0.01901565995525727,0.4575788634551873,0.4095820591233435,0.5183178534571723,17,894,,,,,2026-02-05T22:57:43.884508
nonneural,nonneural-baseline,por,forward,test,1000,0.98,,980,1000,,,,,,,,,,,2026-02-05T23:38:06.339175
nonneural,nonneural-baseline,eng,forward,test,1000,0.964,,964,1000,,,,,,,,,,,2026-02-05T23:38:18.110970
nonneural,nonneural-baseline,ita,forward,test,1000,0.78,,780,1000,,,,,,,,,,,2026-02-05T23:38:30.809391
nonneural,nonneural-baseline,amh,forward,test,1000,0.322,,322,1000,,,,,,,,,,,2026-02-05T23:38:33.697978
nonneural,nonneural-baseline,grc,forward,test,1000,0.338,,338,1000,,,,,,,,,,,2026-02-05T23:38:43.573806
nonneural,nonneural-baseline,kat,forward,test,1000,0.024,,24,1000,,,,,,,,,,,2026-02-05T23:38:51.595086
nonneural,nonneural-baseline,azg,forward,test,1000,0.088,,88,1000,,,,,,,,,,,2026-02-05T23:39:14.219234
nonneural,nonneural-baseline,dsb,forward,test,1000,0.87,,870,1000,,,,,,,,,,,2026-02-05T23:39:20.049142
