model_type,model_name,language,direction,split,test_examples,lemma_accuracy,lemma_mean_levenshtein,lemma_correct,lemma_total,msd_accuracy,msd_f1,msd_precision,msd_recall,msd_correct,msd_total,use_context,epochs,batch_size,learning_rate,timestamp
nonneural,nonneural-baseline,amh,forward,test,1000,0.39,1.01,390,1000,,,,,,,,,,,2026-02-25T11:53:33.505431
nonneural,nonneural-baseline,azg,forward,test,1000,0.061,5.66,61,1000,,,,,,,,,,,2026-02-25T11:53:33.643160
nonneural,nonneural-baseline,dsb,forward,test,1000,0.852,0.267,852,1000,,,,,,,,,,,2026-02-25T11:53:33.690252
nonneural,nonneural-baseline,eng,forward,test,1000,0.958,0.086,958,1000,,,,,,,,,,,2026-02-25T11:53:33.774922
nonneural,nonneural-baseline,grc,forward,test,1000,0.29,1.852,290,1000,,,,,,,,,,,2026-02-25T11:53:33.877606
nonneural,nonneural-baseline,ita,forward,test,1000,0.762,0.761,762,1000,,,,,,,,,,,2026-02-25T11:53:33.995014
nonneural,nonneural-baseline,kat,forward,test,1000,0.842,0.43,842,1000,,,,,,,,,,,2026-02-25T11:53:34.078708
nonneural,nonneural-baseline,por,forward,test,1000,0.966,0.054,966,1000,,,,,,,,,,,2026-02-25T11:53:34.162301
neural,neural,amh,forward,test,1000,0.887,0.162,887,1000,,,,,,,,max_steps:20000,400,0.001,2026-02-17T22:23:49.068514
neural,neural,azg,forward,test,1000,0.201,3.703,201,1000,,,,,,,,max_steps:20000,400,0.001,2026-02-17T22:23:48.940185
neural,neural,dsb,forward,test,1000,0.791,0.379,791,1000,,,,,,,,max_steps:20000,400,0.001,2026-02-17T22:23:48.738299
neural,neural,eng,forward,test,1000,0.966,0.069,966,1000,,,,,,,,max_steps:20000,400,0.001,2026-02-17T22:23:48.442178
neural,neural,grc,forward,test,1000,0.194,2.212,194,1000,,,,,,,,max_steps:20000,400,0.001,2026-02-17T22:23:49.238498
neural,neural,ita,forward,test,1000,0.783,0.266,783,1000,,,,,,,,max_steps:20000,400,0.001,2026-02-17T22:23:48.616025
neural,neural,kat,forward,test,1000,0.892,0.297,892,1000,,,,,,,,max_steps:20000,400,0.001,2026-02-22T10:32:03.007040
neural,neural,por,forward,test,1000,0.976,0.031,976,1000,,,,,,,,max_steps:20000,400,0.001,2026-02-17T22:23:22.853457
byt5,results/byt5-forward-amh/checkpoint-3750,amh,forward,test,,0.822,0.237,822,1000,,,,,,,False,,16,,2026-02-18T00:22:54.291974
byt5,results/byt5-forward-azg/checkpoint-3750,azg,forward,test,,0.265,3.413,265,1000,,,,,,,False,,16,,2026-02-18T03:55:01.377611
byt5,results/byt5-forward-dsb/checkpoint-3750,dsb,forward,test,,0.839,0.287,839,1000,,,,,,,False,,16,,2026-02-18T06:00:22.206092
byt5,results/byt5-forward-eng/checkpoint-3750,eng,forward,test,,0.971,0.067,971,1000,,,,,,,False,,16,,2026-02-18T08:22:39.931205
byt5,results/byt5-forward-grc/checkpoint-3750,grc,forward,test,,0.416,1.713,416,1000,,,,,,,False,,16,,2026-02-18T11:16:10.488347
byt5,results/byt5-forward-ita/checkpoint-3750,ita,forward,test,,0.958,0.091,958,1000,,,,,,,False,,16,,2026-02-18T14:01:16.760394
byt5,results/byt5-forward-kat/checkpoint-3750,kat,forward,test,,0.851,0.48,851,1000,,,,,,,False,,16,,2026-02-18T17:58:51.157595
byt5,results/byt5-forward-por/checkpoint-3750,por,forward,test,,0.95,0.072,950,1000,,,,,,,False,,16,,2026-02-18T20:44:39.039978
byt5,results/byt5-inverse-amh/checkpoint-3750,amh,inverse,test,,0.762,0.287,762,1000,0.832,0.9281045751633987,0.917967008470798,0.9384685505925251,832,1000,False,,16,,2026-02-18T23:58:02.302303
byt5,results/byt5-inverse-azg/checkpoint-3750,azg,inverse,test,,0.344,2.618,344,1000,0.778,0.9443525031030203,0.9443525031030203,0.9443525031030203,778,1000,False,,16,,2026-02-19T04:41:44.306955
byt5,results/byt5-inverse-dsb/checkpoint-3750,dsb,inverse,test,,0.613,0.597,613,1000,0.462,0.7244617829793382,0.7371361364304616,0.712215909090909,462,1000,False,,16,,2026-02-19T08:06:48.814624
byt5,results/byt5-inverse-eng/checkpoint-3750,eng,inverse,test,,0.97,0.044,970,1000,0.813,0.9638389031705227,0.9894440534834623,0.9395255596391581,813,1000,False,,16,,2026-02-19T11:11:27.806287
